Date (s),Itot (A)
1.10147e-10,-1.314276133707542e-08
1.11664e-10,-1.286997891759981e-08
1.13225e-10,-1.261718561109584e-08
1.14831e-10,-1.235211796708917e-08
1.16483e-10,-1.229631992158805e-08
1.18184e-10,-1.182497140716622e-08
1.19936e-10,-1.159122112613458e-08
1.21741e-10,-1.134187626177054e-08
1.23603e-10,-1.106893237138411e-08
1.25525e-10,-1.08139396246937e-08
1.27511e-10,-1.056526715444018e-08
1.29564e-10,-1.032053121747434e-08
1.31689e-10,-1.005183133910442e-08
1.3389e-10,-9.775631383996862e-09
1.36174e-10,-9.5247179583967e-09
1.38544e-10,-9.281922752666845e-09
1.40997e-10,-9.047085583949362e-09
1.43545e-10,-8.795352933755302e-09
1.46201e-10,-8.53837589182837e-09
1.48971e-10,-8.278010161780756e-09
1.51871e-10,-8.003339709663843e-09
1.54913e-10,-7.755888708437467e-09
1.58105e-10,-7.523054715326095e-09
1.61579e-10,-7.267327428371289e-09
1.65437e-10,-6.967098248002277e-09
1.69792e-10,-6.6723061418199e-09
1.74715e-10,-6.363629710657118e-09
1.80329e-10,-6.044681944869602e-09
1.86786e-10,-5.692832400564654e-09
1.94305e-10,-5.337285108488345e-09
2.03237e-10,-4.942445154645265e-09
2.1309e-10,-4.556007597937277e-09
2.23945e-10,-4.181452741104616e-09
2.35983e-10,-3.823724042937674e-09
2.49547e-10,-3.460734464529521e-09
2.64817e-10,-3.114670909649448e-09
2.82157e-10,-2.774690829673157e-09
3.02073e-10,-2.441823989790697e-09
3.25141e-10,-2.123459775922602e-09
3.52291e-10,-1.814147663347947e-09
3.84872e-10,-1.515122752586724e-09
4.23969e-10,-1.234249130873474e-09
4.70885e-10,-9.758073946565888e-10
5.27185e-10,-7.40902278871945e-10
5.94744e-10,-5.4665426152955e-10
6.75815e-10,-3.830467700226777e-10
7.73101e-10,-2.54675000219568e-10
8.89843e-10,-1.592101499263955e-10
1.02993e-09,-9.285292327982722e-11
1.19804e-09,-5.005640131010712e-11
1.39977e-09,-2.473030516568326e-11
1.64185e-09,-1.110090860297309e-11
1.93235e-09,-4.489235252858674e-12
2.28094e-09,-1.622158401769783e-12
2.69925e-09,-5.195604905904225e-13
3.20122e-09,-1.462543176365709e-13
3.80358e-09,-3.573209925771092e-14
4.52642e-09,-7.294927099965248e-15
5.39383e-09,-9.716071479255001e-16
6.43472e-09,2.374400878819848e-16
7.68378e-09,4.3534372863969e-16
9.18266e-09,4.629685767240425e-16
1.09813e-08,4.662427585332617e-16
1.31397e-08,4.665752305543283e-16
1.57298e-08,4.666015308743808e-16
1.88378e-08,4.665951233212584e-16
2.25675e-08,4.666053811181548e-16
2.70432e-08,4.666004821828847e-16
3.24139e-08,4.666003474000297e-16
3.88588e-08,4.666004520707487e-16
4.65927e-08,4.666003148843758e-16
5.58734e-08,4.666003826149159e-16
6.70102e-08,4.666003118209181e-16
8.03743e-08,4.666004311119187e-16
